,date,value,quality
0,2022-08-26 03:00:00,11.2,G
1,2022-08-26 04:00:00,11.0,G
2,2022-08-26 05:00:00,11.1,G
3,2022-08-26 06:00:00,12.2,G
4,2022-08-26 07:00:00,13.9,G
5,2022-08-26 08:00:00,15.9,G
6,2022-08-26 09:00:00,18.9,G
7,2022-08-26 10:00:00,20.3,G
8,2022-08-26 11:00:00,20.8,G
9,2022-08-26 12:00:00,20.8,G
10,2022-08-26 13:00:00,22.0,G
11,2022-08-26 14:00:00,22.8,G
12,2022-08-26 15:00:00,21.8,G
13,2022-08-26 16:00:00,22.1,G
14,2022-08-26 17:00:00,21.6,G
15,2022-08-26 18:00:00,20.8,G
16,2022-08-26 19:00:00,20.5,G
17,2022-08-26 20:00:00,20.4,G
18,2022-08-26 21:00:00,19.8,G
19,2022-08-26 22:00:00,18.2,G
20,2022-08-26 23:00:00,17.5,G
21,2022-08-27 00:00:00,16.8,G
22,2022-08-27 01:00:00,16.2,G
23,2022-08-27 02:00:00,16.6,G
24,2022-08-27 03:00:00,17.5,G
25,2022-08-27 04:00:00,17.8,G
26,2022-08-27 05:00:00,18.1,G
27,2022-08-27 06:00:00,18.3,G
28,2022-08-27 07:00:00,18.6,G
29,2022-08-27 08:00:00,18.9,G
30,2022-08-27 09:00:00,19.9,G
31,2022-08-27 10:00:00,21.6,G
32,2022-08-27 11:00:00,24.0,G
33,2022-08-27 12:00:00,26.0,G
34,2022-08-27 13:00:00,27.3,G
35,2022-08-27 14:00:00,27.5,G
36,2022-08-27 15:00:00,26.5,G
37,2022-08-27 16:00:00,25.9,G
38,2022-08-27 17:00:00,24.7,G
39,2022-08-27 18:00:00,22.5,G
40,2022-08-27 19:00:00,21.9,G
41,2022-08-27 20:00:00,20.4,G
42,2022-08-27 21:00:00,19.7,G
43,2022-08-27 22:00:00,19.0,G
44,2022-08-27 23:00:00,18.4,G
45,2022-08-28 00:00:00,18.7,G
46,2022-08-28 01:00:00,18.6,G
47,2022-08-28 02:00:00,18.2,G
48,2022-08-28 03:00:00,18.1,G
49,2022-08-28 04:00:00,18.1,G
50,2022-08-28 05:00:00,17.4,G
51,2022-08-28 06:00:00,17.8,G
52,2022-08-28 07:00:00,18.6,G
53,2022-08-28 08:00:00,18.1,G
54,2022-08-28 09:00:00,17.9,G
55,2022-08-28 10:00:00,18.6,G
56,2022-08-28 11:00:00,19.3,G
57,2022-08-28 12:00:00,19.6,G
58,2022-08-28 13:00:00,19.8,G
59,2022-08-28 14:00:00,19.5,G
60,2022-08-28 15:00:00,19.6,G
61,2022-08-28 16:00:00,19.7,G
62,2022-08-28 17:00:00,19.0,G
63,2022-08-28 18:00:00,18.2,G
64,2022-08-28 19:00:00,16.9,G
65,2022-08-28 20:00:00,15.8,G
66,2022-08-28 21:00:00,14.8,G
67,2022-08-28 22:00:00,13.6,G
68,2022-08-28 23:00:00,13.5,G
69,2022-08-29 00:00:00,13.3,G
70,2022-08-29 01:00:00,13.0,G
71,2022-08-29 02:00:00,12.8,G
72,2022-08-29 03:00:00,12.0,G
73,2022-08-29 04:00:00,11.8,G
74,2022-08-29 05:00:00,12.1,G
75,2022-08-29 06:00:00,12.1,G
76,2022-08-29 07:00:00,12.1,G
77,2022-08-29 08:00:00,11.9,G
78,2022-08-29 09:00:00,11.8,G
79,2022-08-29 10:00:00,11.9,G
80,2022-08-29 11:00:00,12.5,G
81,2022-08-29 12:00:00,13.3,G
82,2022-08-29 13:00:00,14.1,G
83,2022-08-29 14:00:00,14.4,G
84,2022-08-29 15:00:00,14.7,G
85,2022-08-29 16:00:00,15.3,G
86,2022-08-29 17:00:00,15.7,G
87,2022-08-29 18:00:00,16.0,G
88,2022-08-29 19:00:00,15.8,G
89,2022-08-29 20:00:00,14.0,G
90,2022-08-29 21:00:00,13.5,G
91,2022-08-29 22:00:00,12.7,G
92,2022-08-29 23:00:00,11.4,G
93,2022-08-30 00:00:00,10.9,G
94,2022-08-30 01:00:00,10.8,G
95,2022-08-30 02:00:00,10.5,G
96,2022-08-30 03:00:00,10.3,G
97,2022-08-30 04:00:00,10.0,G
98,2022-08-30 05:00:00,9.9,G
99,2022-08-30 06:00:00,10.1,G
100,2022-08-30 07:00:00,12.0,G
101,2022-08-30 08:00:00,14.1,G
102,2022-08-30 10:00:00,17.2,G
103,2022-08-30 11:00:00,18.4,G
104,2022-08-30 12:00:00,18.2,G
105,2022-08-30 13:00:00,18.6,G
106,2022-08-30 14:00:00,19.1,G
107,2022-08-30 15:00:00,18.0,G
108,2022-08-30 16:00:00,18.6,G
109,2022-08-30 17:00:00,17.7,G
110,2022-08-30 18:00:00,17.3,G
111,2022-08-30 19:00:00,16.8,G
112,2022-08-30 20:00:00,15.4,G
113,2022-08-30 21:00:00,13.8,G
114,2022-08-30 22:00:00,13.7,G
115,2022-08-30 23:00:00,13.9,G
116,2022-08-31 00:00:00,13.8,G
117,2022-08-31 01:00:00,13.7,G
118,2022-08-31 02:00:00,11.8,G
119,2022-08-31 03:00:00,10.4,G
120,2022-08-31 04:00:00,10.0,G
121,2022-08-31 05:00:00,9.2,G
122,2022-08-31 06:00:00,8.7,G
123,2022-08-31 07:00:00,11.6,G
124,2022-08-31 08:00:00,13.6,G
125,2022-08-31 09:00:00,15.5,G
126,2022-08-31 10:00:00,16.5,G
127,2022-08-31 11:00:00,16.1,G
128,2022-08-31 12:00:00,17.1,G
129,2022-08-31 13:00:00,17.8,G
130,2022-08-31 14:00:00,17.4,G
131,2022-08-31 15:00:00,18.3,G
132,2022-08-31 16:00:00,17.4,G
133,2022-08-31 17:00:00,17.5,G
134,2022-08-31 18:00:00,17.0,G
135,2022-08-31 19:00:00,15.9,G
136,2022-08-31 20:00:00,14.5,G
137,2022-08-31 21:00:00,13.6,G
138,2022-08-31 22:00:00,12.3,G
139,2022-08-31 23:00:00,11.8,G
140,2022-09-01 00:00:00,9.8,G
141,2022-09-01 01:00:00,9.2,G
142,2022-09-01 02:00:00,8.9,G
143,2022-09-01 03:00:00,8.5,G
144,2022-09-01 04:00:00,7.3,G
145,2022-09-01 05:00:00,6.3,G
146,2022-09-01 06:00:00,6.1,G
147,2022-09-01 07:00:00,8.6,G
148,2022-09-01 08:00:00,14.0,G
149,2022-09-01 09:00:00,14.8,G
150,2022-09-01 10:00:00,17.0,G
151,2022-09-01 11:00:00,15.5,G
152,2022-09-01 12:00:00,15.8,G
153,2022-09-01 13:00:00,16.1,G
154,2022-09-01 14:00:00,16.9,G
155,2022-09-01 15:00:00,17.0,G
156,2022-09-01 16:00:00,17.1,G
157,2022-09-01 17:00:00,16.2,G
158,2022-09-01 18:00:00,15.5,G
159,2022-09-01 19:00:00,15.0,G
160,2022-09-01 20:00:00,13.7,G
161,2022-09-01 21:00:00,11.6,G
162,2022-09-01 22:00:00,9.5,G
163,2022-09-01 23:00:00,8.9,G
164,2022-09-02 00:00:00,9.2,G
165,2022-09-02 01:00:00,9.2,G
166,2022-09-02 02:00:00,9.5,G
167,2022-09-02 03:00:00,8.7,G
168,2022-09-02 04:00:00,8.9,G
169,2022-09-02 05:00:00,9.4,G
170,2022-09-02 06:00:00,8.7,G
171,2022-09-02 07:00:00,10.9,G
172,2022-09-02 08:00:00,12.9,G
173,2022-09-02 09:00:00,13.8,G
174,2022-09-02 10:00:00,13.0,G
175,2022-09-02 11:00:00,13.6,G
176,2022-09-02 12:00:00,13.7,G
177,2022-09-02 13:00:00,14.5,G
178,2022-09-02 14:00:00,15.3,G
179,2022-09-02 15:00:00,14.2,G
180,2022-09-02 16:00:00,15.7,G
181,2022-09-02 17:00:00,14.8,G
182,2022-09-02 18:00:00,14.1,G
183,2022-09-02 19:00:00,12.8,G
184,2022-09-02 20:00:00,8.6,G
185,2022-09-02 21:00:00,6.4,G
186,2022-09-02 22:00:00,5.3,G
187,2022-09-02 23:00:00,4.3,G
188,2022-09-03 00:00:00,4.3,G
189,2022-09-03 01:00:00,3.8,G
190,2022-09-03 02:00:00,5.1,G
191,2022-09-03 03:00:00,5.0,G
192,2022-09-03 04:00:00,5.0,G
193,2022-09-03 05:00:00,4.5,G
194,2022-09-03 06:00:00,4.9,G
195,2022-09-03 07:00:00,6.7,G
196,2022-09-03 08:00:00,8.9,G
197,2022-09-03 09:00:00,12.0,G
198,2022-09-03 10:00:00,14.3,G
199,2022-09-03 11:00:00,15.7,G
200,2022-09-03 12:00:00,15.9,G
201,2022-09-03 13:00:00,16.0,G
202,2022-09-03 14:00:00,16.4,G
203,2022-09-03 15:00:00,15.7,G
204,2022-09-03 16:00:00,15.8,G
205,2022-09-03 17:00:00,15.5,G
206,2022-09-03 18:00:00,15.2,G
207,2022-09-03 19:00:00,15.2,G
208,2022-09-03 20:00:00,14.2,G
209,2022-09-03 21:00:00,12.8,G
210,2022-09-03 22:00:00,11.6,G
211,2022-09-03 23:00:00,11.4,G
212,2022-09-04 00:00:00,11.9,G
213,2022-09-04 01:00:00,11.7,G
214,2022-09-04 02:00:00,11.1,G
215,2022-09-04 03:00:00,11.4,G
216,2022-09-04 04:00:00,10.6,G
217,2022-09-04 05:00:00,10.2,G
218,2022-09-04 06:00:00,10.3,G
219,2022-09-04 07:00:00,10.3,G
220,2022-09-04 08:00:00,11.2,G
221,2022-09-04 09:00:00,12.1,G
222,2022-09-04 10:00:00,13.1,G
223,2022-09-04 11:00:00,15.2,G
224,2022-09-04 12:00:00,17.6,G
225,2022-09-04 13:00:00,17.1,G
226,2022-09-04 14:00:00,16.4,G
227,2022-09-04 15:00:00,14.5,G
228,2022-09-04 16:00:00,15.1,G
229,2022-09-04 17:00:00,15.1,G
230,2022-09-04 18:00:00,14.5,G
231,2022-09-04 19:00:00,13.4,G
232,2022-09-04 20:00:00,11.7,G
233,2022-09-04 21:00:00,9.4,G
234,2022-09-04 22:00:00,7.8,G
235,2022-09-04 23:00:00,7.0,G
236,2022-09-05 00:00:00,6.9,G
237,2022-09-05 01:00:00,6.3,G
238,2022-09-05 02:00:00,5.6,G
239,2022-09-05 03:00:00,5.8,G
240,2022-09-05 04:00:00,6.1,G
241,2022-09-05 05:00:00,6.7,G
242,2022-09-05 06:00:00,7.6,G
243,2022-09-05 07:00:00,9.3,G
244,2022-09-05 08:00:00,10.9,G
245,2022-09-05 09:00:00,14.8,G
246,2022-09-05 10:00:00,14.9,G
247,2022-09-05 11:00:00,15.0,G
248,2022-09-05 12:00:00,18.6,G
249,2022-09-05 13:00:00,14.4,G
250,2022-09-05 14:00:00,14.6,G
251,2022-09-05 15:00:00,15.4,G
252,2022-09-05 16:00:00,14.6,G
253,2022-09-05 17:00:00,14.5,G
254,2022-09-05 18:00:00,14.1,G
255,2022-09-05 19:00:00,12.2,G
256,2022-09-05 20:00:00,8.7,G
257,2022-09-05 21:00:00,6.4,G
258,2022-09-05 22:00:00,5.7,G
259,2022-09-05 23:00:00,4.7,G
260,2022-09-06 00:00:00,4.2,G
261,2022-09-06 01:00:00,3.8,G
262,2022-09-06 02:00:00,3.4,G
263,2022-09-06 03:00:00,2.9,G
264,2022-09-06 04:00:00,2.1,G
265,2022-09-06 05:00:00,1.9,G
266,2022-09-06 06:00:00,1.8,G
267,2022-09-06 07:00:00,3.8,G
268,2022-09-06 08:00:00,8.5,G
269,2022-09-06 09:00:00,13.4,G
270,2022-09-06 10:00:00,15.5,G
271,2022-09-06 11:00:00,16.2,G
272,2022-09-06 12:00:00,17.6,G
273,2022-09-06 13:00:00,18.9,G
274,2022-09-06 14:00:00,19.1,G
275,2022-09-06 15:00:00,18.6,G
276,2022-09-06 16:00:00,19.4,G
277,2022-09-06 17:00:00,19.0,G
278,2022-09-06 18:00:00,18.1,G
279,2022-09-06 19:00:00,15.4,G
280,2022-09-06 20:00:00,12.6,G
281,2022-09-06 21:00:00,10.2,G
282,2022-09-06 22:00:00,7.5,G
283,2022-09-06 23:00:00,6.5,G
284,2022-09-07 00:00:00,6.6,G
285,2022-09-07 01:00:00,5.9,G
286,2022-09-07 02:00:00,5.9,G
287,2022-09-07 03:00:00,5.6,G
288,2022-09-07 04:00:00,5.3,G
289,2022-09-07 05:00:00,5.4,G
290,2022-09-07 06:00:00,5.2,G
291,2022-09-07 07:00:00,5.0,G
292,2022-09-07 08:00:00,8.7,G
293,2022-09-07 09:00:00,14.8,G
294,2022-09-07 10:00:00,18.7,G
295,2022-09-07 11:00:00,18.0,G
296,2022-09-07 12:00:00,18.3,G
297,2022-09-07 13:00:00,19.0,G
298,2022-09-07 14:00:00,17.8,G
299,2022-09-07 15:00:00,17.1,G
300,2022-09-07 16:00:00,16.1,G
301,2022-09-07 17:00:00,15.5,G
302,2022-09-07 18:00:00,14.7,G
303,2022-09-07 19:00:00,13.7,G
304,2022-09-07 20:00:00,11.8,G
305,2022-09-07 21:00:00,8.6,G
306,2022-09-07 22:00:00,7.0,G
307,2022-09-07 23:00:00,6.3,G
308,2022-09-08 00:00:00,6.1,G
309,2022-09-08 01:00:00,6.4,G
310,2022-09-08 02:00:00,7.3,G
311,2022-09-08 03:00:00,7.0,G
312,2022-09-08 04:00:00,6.0,G
313,2022-09-08 05:00:00,5.5,G
314,2022-09-08 06:00:00,6.6,G
315,2022-09-08 07:00:00,8.7,G
316,2022-09-08 08:00:00,10.0,G
317,2022-09-08 09:00:00,10.7,G
318,2022-09-08 10:00:00,15.3,G
319,2022-09-08 11:00:00,15.1,G
320,2022-09-08 12:00:00,15.1,G
321,2022-09-08 13:00:00,15.8,G
322,2022-09-08 14:00:00,15.5,G
323,2022-09-08 15:00:00,15.0,G
324,2022-09-08 16:00:00,15.3,G
325,2022-09-08 17:00:00,14.9,G
326,2022-09-08 18:00:00,14.7,G
327,2022-09-08 19:00:00,14.1,G
328,2022-09-08 20:00:00,12.7,G
329,2022-09-08 21:00:00,13.6,G
330,2022-09-08 22:00:00,12.9,G
331,2022-09-08 23:00:00,13.5,G
332,2022-09-09 00:00:00,13.7,G
333,2022-09-09 01:00:00,14.3,G
334,2022-09-09 02:00:00,14.3,G
335,2022-09-09 03:00:00,14.2,G
336,2022-09-09 04:00:00,13.9,G
337,2022-09-09 05:00:00,13.7,G
338,2022-09-09 06:00:00,13.8,G
339,2022-09-09 07:00:00,14.2,G
340,2022-09-09 08:00:00,14.4,G
341,2022-09-09 09:00:00,15.4,G
342,2022-09-09 10:00:00,16.1,G
343,2022-09-09 11:00:00,15.7,G
344,2022-09-09 12:00:00,16.3,G
345,2022-09-09 13:00:00,16.8,G
346,2022-09-09 14:00:00,16.6,G
347,2022-09-09 15:00:00,15.9,G
348,2022-09-09 16:00:00,15.7,G
349,2022-09-09 17:00:00,15.6,G
350,2022-09-09 18:00:00,15.4,G
351,2022-09-09 19:00:00,15.5,G
352,2022-09-09 20:00:00,15.3,G
353,2022-09-09 21:00:00,14.7,G
354,2022-09-09 22:00:00,13.4,G
355,2022-09-09 23:00:00,13.5,G
356,2022-09-10 00:00:00,13.4,G
357,2022-09-10 01:00:00,13.3,G
358,2022-09-10 02:00:00,13.1,G
359,2022-09-10 03:00:00,13.0,G
360,2022-09-10 04:00:00,12.5,G
361,2022-09-10 05:00:00,12.5,G
362,2022-09-10 06:00:00,12.7,G
363,2022-09-10 07:00:00,13.1,G
364,2022-09-10 08:00:00,13.0,G
365,2022-09-10 09:00:00,13.2,G
366,2022-09-10 10:00:00,13.5,G
367,2022-09-10 11:00:00,14.9,G
368,2022-09-10 12:00:00,15.6,G
369,2022-09-10 13:00:00,16.8,G
